30000,1,3768914,100,1451,194,159,64666.666666666664,514.7371364801638
100000,1,12588914,47,886,638,579,63800.0,506.79510559846545
# 300000,1,37988914,16,2077,1866,1792,62200.0,491.19593152886654
# 1000000,1,126888914,5,7219,6489,6235,64890.0,511.3921930169565
30000,3,3828914,100,421,184,158,20444.444444444445,480.5540160996042
100000,3,12788914,48,805,622,577,20733.333333333332,486.3587322582668
# 300000,3,38588914,16,2152,1976,1846,21955.555555555555,512.0641643348657
# 1000000,3,128888914,5,6938,6881,6550,22936.666666666668,533.8705856424549
30000,10,4038914,100,425,196,172,6533.333333333333,485.27896360259217
100000,10,13488914,45,955,671,614,6710.0,497.4455319383013
# 300000,10,40688914,15,2348,2005,1650,6683.333333333333,492.7632130953409
# 1000000,10,135888914,6,5558,5418,5272,5418.0,398.7080211708808

30000,30,4638914,100,176,158,151,1755.5555555555557,340.59695868472664
100000,30,15488914,57,700,526,509,1753.3333333333333,339.5977277683897
300000,30,46688914,19,2177,1582,1547,1757.7777777777778,338.8384660221482
30000,100,6738914,100,228,195,187,650.0,289.36413196547693
100000,100,22488914,44,893,682,638,682.0,303.2605309442688
# 300000,100,67688914,15,2156,2111,1951,703.6666666666666,311.8679079413211
30000,300,12738914,99,337,302,288,335.55555555555554,237.06887415991662
100000,300,42488914,30,1119,1025,989,341.6666666666667,241.23939717546088
# 300000,300,127688914,10,3389,3083,2996,342.55555555555554,241.44617597734444

1000,1000,1122914,100,36,23,21,230.0,204.8242340909455
30000,1000,33738914,44,760,678,662,226.0,200.95489736273078
# 100000,1000,112488914,13,2539,2358,2271,235.8,209.62065648531373
30,30000,903674,100,26,17,15,188.88888888888889,188.1209374176971
100,30000,3012214,100,69,56,50,186.66666666666666,185.90976603919907
300,30000,9036814,100,232,166,151,184.44444444444446,183.6930581950674
1000,30000,30122914,53,655,566,519,188.66666666666666,187.89682830817762
10,100000,1001234,100,29,19,16,190.0,189.76582896705466
30,100000,3003674,100,62,54,50,180.0,179.77982963530664
100,100000,10012214,100,220,180,166,180.0,179.78041619965373
300,100000,30036814,56,597,532,510,177.33333333333334,177.1159884001013
# 1000,100000,100122914,16,2012,1889,1776,188.9,188.66810049096253
3,300000,900387,100,25,16,14,177.77777777777777,177.70136619031595
10,300000,3001234,100,60,54,51,180.0,179.92599044259794
30,300000,9003674,100,806,190,151,211.11111111111111,211.02496603053376
100,300000,30012214,53,622,566,551,188.66666666666666,188.58988543797534
# 300,300000,90036814,18,1896,1738,1687,193.11111111111111,193.03215238158026
1,1000000,1000145,100,41,20,17,200.0,199.97100420439037
3,1000000,3000387,100,91,59,53,196.66666666666666,196.64129993897453
10,1000000,10001234,100,237,202,184,202.0,201.97507627558758
30,1000000,30003674,51,658,595,561,198.33333333333334,198.30904708536696
# 100,1000000,100012214,16,2309,1949,1908,194.9,194.87619782119813
