30000,1,3768914,100,751,133,121,44333.333333333336,352.8867997518649
100000,1,12588914,69,495,435,419,43500.0,345.54211745349915
300000,1,37988914,23,1380,1304,1268,43466.666666666664,343.2580357522197
# 1000000,1,126888914,7,4563,4408,4311,44080.0,347.3904741591531
30000,3,3828914,100,214,139,122,15444.444444444445,363.02721868394013
100000,3,12788914,69,569,434,414,14466.666666666666,339.35641446959454
300000,3,38588914,23,1458,1309,1283,14544.444444444445,339.2165946934915
# 1000000,3,128888914,7,4651,4402,4321,14673.333333333334,341.5344162182948
30000,10,4038914,100,178,130,122,4333.333333333333,321.8687003486581
100000,10,13488914,69,489,438,422,4380.0,324.71109238297464
300000,10,40688914,23,1373,1313,1282,4376.666666666667,322.69231860058983
# 1000000,10,135888914,7,4743,4424,4113,4424.0,325.560037958652

30000,30,4638914,100,154,126,121,1400.0,271.615296166301
100000,30,15488914,49,1809230,425,413,1416.6666666666667,274.38979905240615
300000,30,46688914,22,2279,1318,1215,1464.4444444444443,282.29399381617657
30000,100,6738914,100,360,135,128,450.0,200.32901443763788
100000,100,22488914,66,730,453,436,453.0,201.43258140433105
300000,100,67688914,23,1408,1347,1321,449.0,198.9986129781902
30000,300,12738914,100,205,174,166,193.33333333333334,136.5893513371705
100000,300,42488914,52,783,578,560,192.66666666666666,136.03548445601598
# 300000,300,127688914,18,1791,1722,1695,191.33333333333334,134.8590058491687

1000,1000,1122914,100,12,10,9,100.0,89.05401482215022
30000,1000,33738914,99,343,303,292,101.0,89.80727713998145
100000,1000,112488914,30,1033,1004,985,100.4,89.25323965702079
30,30000,903674,100,8,6,5,66.66666666666667,66.39562497095191
100,30000,3012214,100,22,19,17,63.333333333333336,63.07652776329969
300,30000,9036814,100,69,56,53,62.22222222222222,61.968742523637204
1000,30000,30122914,100,215,188,180,62.666666666666664,62.41096063946536
10,100000,1001234,100,9,6,5,60.0,59.9260512527541
30,100000,3003674,100,23,18,17,60.0,59.92660987843554
100,100000,10012214,100,72,61,58,61.0,60.92558548988266
300,100000,30036814,100,244,186,176,62.0,61.9240109819903
1000,100000,100122914,49,658,611,596,61.1,61.024991741650666
3,300000,900387,100,7,6,5,66.66666666666667,66.63801232136848
10,300000,3001234,100,28,18,17,60.0,59.975330147532645
30,300000,9003674,100,63,54,52,60.0,59.97551666130959
100,300000,30012214,100,264,181,175,60.333333333333336,60.30877961885784
300,300000,90036814,55,590,549,537,61.0,60.97505849107455
1,1000000,1000145,100,8,6,5,60.0,59.99130126131711
3,1000000,3000387,100,26,18,17,60.0,59.99226099833122
10,1000000,10001234,100,69,61,58,61.0,60.99247352876655
30,1000000,30003674,100,196,183,175,61.0,60.99253044810445
100,1000000,100012214,48,816,615,589,61.5,61.492489307356
